song_id,duration_sec
3nqQXoyQOWXiESFLlDF1hG,207
2tTmW7RDtMQtBk7m2rYeSw,190
5ww2BF9slyYgNOk37BlC4u,159
4uUG5RXrOk84mYEfFvj3cK,192
6Sq7ltF9Qa7SNFBsV5Cogx,190
1IHWl5LamUGEuP4ozKQSXZ,200
5Eax0qFko2dh7Rl2lYs3bx,238
5IgjP7X4th6nMNDh4akUHb,234
4h9wh7iOZ0GGn8QVp4RAOB,157
4LRPiXqCikLlN15c3yImP7,195
3k3NWokhRRkEPhCzPmV8TW,226
6xGruZOHLs39ZbVccQTuPZ,238
6Xom58OOXk2SoU711L2IXO,152
1xzi1Jcr7mEi9K2RfzLOqS,190
7dSZ6zGTQx66c2GF91xCrb,177
31i56LZnwE6uSu3exoHjtB,193
3JvKfv6T31zO0ini8iNItO,171
2QjOHCTQ1Jl3zawyYOpxh6,221
4Dvkj6JhhA12EX05fT7y2e,230
5XeFesFbtLpXzIVDNQP22n,217
4C6Uex2ILwJi9sZXRdmqXp,175
0mBP9X2gPCuapvpZ7TGDk3,165
0WtM2NBVQNNJLh6scP13H8,233
41oY4WCTj5kccfesTVFnvN,165
0VjIjW4GlUZAMYd2vXMi3b,217
79HZAZNnOE97rb2hnI0XQr,186
3F5CgOj3wFlRv51JsHbxhe,167
6i1g5ZRmJZAkDwBaUZ3f2i,179
4tYFy8ALRjIZvnvSLw5lxN,162
1ga4PztXOIw1yBbdUt2X8v,217
7DbdUf8aHSYoliSjO6LZv6,184
0hquQWY3xvYqN4qtiquniF,207
75FEaRjZTKLhTrFGsfMUXR,199
1797zYiX4cKosMH836X9Gt,162
38T0tPVZHcPZyhtOcCP7pF,173
7MXVkk9YMctZqd1Srtv4MB,198
4zN21mbAuaD0WqtmaTZZeP,184
1Fid2jjqsHViMX6xNH70hE,199
2rurDawMfoKP4uHyb2kJBt,184
58HvfVOeJY7lUuCqF0m3ly,170
2eAvDnpXP5W0cVtiI0PUxV,208
0T5iIrXA4p5GsubkhuBIKV,217
1cKHdTo9u0ZymJdPGSh6nq,224
27ZZdyTSQWI7Cug2d2PkqV,180
3fjN3y5x4hN53rykAN2LHQ,180
09mEdoA6zrmBPgTEN5qXmN,187
0HqZX76SFLDz2aW8aiqi7G,214
1PckUlxKqWQs3RlWXVBLw3,226
5jt25aFjW2kNoBqaEVaz5W,206
72yP0DUlWPyH8P7IoxskwN,235
3WMj8moIAXJhHsyLaqIIHI,226
6UelLqGlWMcVH1E5c4H7lY,180
0u2P5u6lvoDfwTYjAADbn4,235
5HCyWlXZPP0y6Gqq8TgA20,211
7ef4DlsgrMEH11cDZd32M6,195
1DIXPcTDzTj8ZMHt3PDt8p,185
4SqWKzw0CbA05TGszDgMlc,184
5QO79kh1waicV47BqGRL3g,227
59nOXPmaKlBfGMDeOVGrIK,177
6VBhH7CyP56BXjp8VsDFPZ,171
2HZLXBOnaSRhXStMLrq9fD,224
3rmo8F54jFF8OgYsqTxm5d,221
5CZ40GBx1sQ9agT82CLQCT,160
2TktkzfozZifbQhXjT6I33,171
68Dni7IE4VyPkTOH9mRWHr,206
2Ch7LmS7r2Gy2kc64wv3Bz,207
0fea68AdmYNygeTGI4RC18,230
7fBv7CLKzipRk6EC6TWHOB,214
5wANPM4fQCJwkGd4rN57mH,233
2gYj9lubBorOPIVWsTXugG,166
0pqnGHJpmpxLKifKRmU6WP,165
0kTMK4gNFfLXaTb62w1UaJ,198
1R0a2iXumgCiFb7HEZ7gUE,166
5O2P9iiztwhomNh8xkR9lJ,174
6DoL1yYIwEW7VZMRaJhoJI,218
4ZtFanR9U6ndgddUvNcjcG,225
3uUuGVFu1V7jTQL60S1r8z,211
4RVwu0g32PAqgUiJoXsdF8,189
02MWAaffLxlfxAUY7c5dvx,240
6Uj1ctrBOjOas8xZXGqKk4,213
7795WJLVKJoAyVoOtCWqXN,207
5FVd6KXrgO9B3JPmC8OPst,188
0BxE4FqsDD1Ot4YuBXwAPp,190
086myS9r57YsLbJpU0TgK9,160
6I3mqTwhRpn34SLVafSH7G,174
7lQ8MOhq6IN2w8EYcFNSUk,208
5E30LdtzQTGqRvNd7l6kG5,222
0e8nrvls4Qqv5Rfa2UhqmO,167
4cacyP5c3PMlfnyjpg13xW,191
